epoch,acc,loss,lr,val_acc,val_loss
0,0.383965564,2.340966301,0.01,0.175214071,4.082735418
1,0.610924407,1.326458644,0.01,0.688426479,1.021554818
2,0.706771935,0.964643198,0.01,0.287818803,4.97964147
3,0.761739251,0.773326508,0.01,0.744038301,0.815487752
4,0.801721757,0.629838709,0.01,0.766596078,0.790075117
5,0.834913913,0.526388406,0.01,0.498572873,2.306350798
6,0.854157077,0.457361963,0.01,0.521222721,2.599461304
7,0.900400518,0.309760335,0.003162278,0.927262687,0.263615764
8,0.914625729,0.261772709,0.003162278,0.904612839,0.310625198
9,0.923050368,0.239664346,0.003162278,0.939047975,0.215850854
10,0.929840719,0.214151061,0.003162278,0.939508337,0.221935167
11,0.936193725,0.194544388,0.003162278,0.919252375,0.283087342
12,0.947840904,0.15974694,0.001,0.93241875,0.236006137
13,0.950948352,0.149435171,0.001,0.951477769,0.176049541
14,0.955206707,0.13847764,0.001,0.948439375,0.193651781
15,0.956817977,0.134085265,0.001,0.950188753,0.180231044
16,0.96073106,0.122720839,0.000316228,0.956817977,0.172489153
17,0.962940802,0.117815532,0.000316228,0.956817977,0.159928049
18,0.962802693,0.114338763,0.000316228,0.955160671,0.16611775
19,0.964252835,0.115011058,0.000316228,0.951385697,0.184223007
20,0.963838509,0.113480629,0.0001,0.958843573,0.154379984
21,0.964805271,0.111499201,0.0001,0.958475283,0.160180175
22,0.965656942,0.109848834,0.0001,0.958199065,0.167707501
23,0.966554649,0.104025047,3.16E-05,0.959948444,0.156837571
24,0.966738794,0.106842731,3.16E-05,0.958567356,0.166614923
25,0.963723418,0.110961774,1.00E-05,0.959672226,0.164747787
26,0.966347486,0.106916986,1.00E-05,0.958106993,0.162304531
27,0.965933159,0.107104673,3.16E-06,0.959027718,0.159333054
28,0.965656942,0.107215607,3.16E-06,0.958475283,0.16849878
29,0.967245193,0.103750199,1.00E-06,0.959764299,0.156495023
